en,zh,is_root
evident,明显的,FALSE
evidence,迹象,FALSE
envy,嫉妒,FALSE
super,超级,FALSE
sub-,下,TRUE
subway,地铁,FALSE
suburb,郊区,FALSE
subtle,微小的,FALSE
little,小的,FALSE
science,科学,FALSE
sci-,知道,TRUE
con-sci-ous,有意识的,FALSE
subconscious,下意识的,FALSE
ordinate,次序,FALSE
subordinate,从属的,FALSE
paramount,极其重要的,FALSE
paralyse,瘫痪,FALSE
parachute,降落伞,FALSE
parallel,平行线,FALSE
paradise,天堂,FALSE
paradox,悖论,FALSE
orthodox,正统的,FALSE
paramour,情人,FALSE
parameter,参数,FALSE
paradigm,典范,FALSE
lease,租出,FALSE
release,释放,FALSE
leisure,休闲,FALSE
lyze,松开,FALSE
analyse,分解,FALSE
analysis,分析,FALSE
analytical,分析,FALSE
catalyze,催化,FALSE
catalyst,催化剂,FALSE
catalogue,目录,FALSE
convey,传送,FALSE
vent-,来,TRUE
advent,来临,FALSE
vac-,空,TRUE
permeate,渗透,FALSE
