en,zh,is_root
circle,圆圈,FALSE
cycle,循环，骑自行车,FALSE
recycle,再循环,FALSE
cyclist,骑行的人,FALSE
encyclopedia,百科全书,FALSE
ped-,脚,TRUE
ex-,外,TRUE
exclaim,呼喊,FALSE
exit,离开,TRUE
expose,暴露,FALSE
exhale,呼气,FALSE
extract,拔出,FALSE
exhibit,展览,FALSE
extend,延伸,FALSE
escort,引导,FALSE
eject,弹射,FALSE
erect,竖起,FALSE
educate,教育,FALSE
eloquent,雄辩的,FALSE
emerge,浮现,FALSE
enumerate,列举,FALSE
express,表达,FALSE
enormous,巨大的,FALSE
it-,走,TRUE
circuit,环行,FALSE
military,军事的,FALSE
motion,运动,FALSE
mile,英里,FALSE
territory,版图,FALSE
transition,过渡,FALSE
initiate,入门，首创,FALSE
initial,开始的,FALSE
initiative,首创的,FALSE
perish,凋谢,FALSE
flourish,繁荣,FALSE
pose,放,FALSE
propose,建议,FALSE
proposal,建议,FALSE
proposition,建议,FALSE
suppose,假设,FALSE
deposit,沉淀,FALSE
impose,强加,FALSE
expose,暴露,FALSE
compose,组合,FALSE
composite,组合的,FALSE
composition,组合,FALSE
composure,沉着,FALSE
physician,医生,FALSE
reporter,记者,FALSE
nurse,护士,FALSE
department,部门,FALSE
departure,离开,FALSE
equal,相等,FALSE
equator,赤道,FALSE
equation,等式,FALSE
pose,摆放,TRUE
posture,姿势,FALSE
dispose,布置,FALSE
disposal,布置,FALSE
disposable,一次性的,FALSE
positive,确定的,FALSE
position,位置,FALSE
opposition,对立,FALSE
possess,占有,FALSE
purpose,目标,FALSE
preposition,介词,FALSE
possess,占有,FALSE
session,座谈,FALSE
obsess,着迷,FALSE
obsession,着迷,FALSE
tract,拉扯,TRUE
tractor,拖拉机,FALSE
portray,描绘,FALSE
portrait,肖像画,FALSE
subtract,减去,FALSE
extract,拔出,FALSE
retreat,撤退,FALSE
contract,收缩,FALSE
distract,分散注意力,FALSE
attract,吸引,FALSE
distress,使痛苦,FALSE
attraction,吸引,FALSE
attractive,有吸引力的,FALSE
tract,大片土地,FALSE
tractor,拖拉机,FALSE
strict,严格的,FALSE
exhale,呼气,FALSE
inhale,吸气,FALSE
aspire,渴望,FALSE
aspiration,愿望,FALSE
conspire,合谋,FALSE
inspire,鼓舞,FALSE
inspiration,灵感,FALSE
perspire,排汗,FALSE
wealth,财富,FALSE
val-,价值,TRUE
value,价值,FALSE
evaluate,求值,FALSE
valuable,有价值的,FALSE
available,可用到的,FALSE
prevail,盛行,FALSE
prevalent,流行的,FALSE
symmetry,对称,FALSE
symphony,交响乐,FALSE
telephone,电话,FALSE
sympathy,同情,FALSE
pathetic,可怜的,FALSE
esthetic,感觉的,FALSE
anesthetic,麻醉药,FALSE
symposium,论坛,FALSE
syn-,相同,TRUE
synthesis,合成,FALSE
synthetical,合成的,FALSE
analysis,分解,FALSE
analytical,分解的,FALSE
synonym,同义词,FALSE
anonymous,匿名的,FALSE
synchronize,同时,TRUE
syndrome,并发症,TRUE
vis-,看,TRUE
visit,参观,FALSE
vision,视觉,FALSE
envision,想象,FALSE
visual,视觉的,FALSE
visualize,可视化,FALSE
visible,看得见的,FALSE
invisible,看不见的,FALSE
revise,修订,FALSE
visa,面签,FALSE
envisage,想象,FALSE
conclude,结束,FALSE
collide,碰撞,FALSE
collision,碰撞,FALSE
decide,决定,FALSE
decision,决定,FALSE
vis-,看,TRUE
video,视频,FALSE
