英文,中文,是否词根
com-,共同,TRUE
col-,共同,TRUE
co-,共同,TRUE
labor,劳动,FALSE
oper-,做,TRUE
operate,手术,FALSE
cooperate,合作,TRUE
operation,操作,FALSE
corporate,公司的,TRUE
corporation,公司,FALSE
firm,公司,FALSE
company,公司,FALSE
corporation,跨国公司,FALSE
group,集团,FALSE
ripe,成熟,FALSE
rip,裂纹,FALSE
ripple,波纹,FALSE
str-,细长,TRUE
strain,拉紧,FALSE
constrain,强迫,TRUE
restrain,限制,TRUE
restrict,限制,TRUE
strait,海峡,FALSE
stream,小溪,FALSE
stretch,拉伸,FALSE
cigar,雪茄,FALSE
sugar,糖,FALSE
vinegar,醋,FALSE
volve-,旋转,TRUE
involve,卷入,FALSE
evolve,进化,FALSE
evolution,发展,FALSE
revolve,公转,FALSE
revolt,反叛,FALSE
revolution,革命,FALSE
revolutionary,革命的,FALSE
mountain,山,FALSE
plain,平原,FALSE
plate,盘子,FALSE
plateau,高原,FALSE
marine,海洋的,TRUE
submarine,潜艇,FALSE
naval,海军的,TRUE
navy,海军,FALSE
avi-,鸟,TRUE
aviate,飞行,FALSE
aviary,大鸟笼,FALSE
aviation,航空,FALSE
navigate,航海,TRUE
invest,投资,TRUE
investor,存货清单,FALSE
nav-,船,TRUE
invest,给与权利,TRUE
